,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction,full_name,survey_response
828,425,Sunday,UNITED,HONOLULU,West US,Medium,Gates 70-90,12/31/2018,177,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
829,3160,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,20,Clean,Very safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
830,2514,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,84,Somewhat clean,Very safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
831,802,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,430,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
832,695,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,185,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
834,841,Sunday,ALASKA,SEATTLE,West US,    Hub,Gates 50-59,12/31/2018,95,Average,Neutral,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
835,2346,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,12/31/2018,255,Somewhat clean,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
836,1667,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,195,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
837,552,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,125,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
838,2877,Friday,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,12/31/2018,90,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
839,1276,Thursday,CHINA SOUTHERN,WUHAN,Asia,Medium     ,Gates 1-12,12/31/2018,225,Somewhat dirty,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
840,556,Thursday,ALASKA,SEATTLE,West US,    Hub,Gates 50-59,12/31/2018,90,Somewhat clean,Neutral,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
841,2184,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,12/31/2018,195,Clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
842,2991,Friday,UNITED,KAHULUI,West US,Small,Gates 60-69,12/31/2018,122,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
843,501,Sunday,UNITED,KAHULUI,West US,Small,Gates 60-69,12/31/2018,160,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
844,3206,Tuesday,UNITED,EUGENE,West US,    Small,Gates 70-90,12/31/2018,150,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
846,2586,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,90,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
847,1988,Friday,AIR FRANCE/KLM,AMSTERDAM,Europe,Hub,Gates 1-12,12/31/2018,205,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
848,834,Sunday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,95,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
849,1921,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,180,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
850,870,Tuesday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,115,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
851,1931,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,135,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
852,3238,Thursday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,190,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
853,1862,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,12/31/2018,75,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
854,1601,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,12/31/2018,210,Somewhat clean,Very safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
855,521,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,165,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
856,2542,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,104,Average,Very safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
857,2294,Tuesday,UNITED,SAN ANTONIO,Midwest US,    Medium,Gates 70-90,12/31/2018,60,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
858,818,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,12/31/2018,155,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
860,2393,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,Hub,Gates 91-102,12/31/2018,335,Clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
862,1573,Wednesday,DELTA,DETROIT,Midwest US,Large,Gates 40-48,12/31/2018,125,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
863,2633,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,150,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
864,496,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,148,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
865,2043,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,90,Clean,Neutral,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
867,1687,Saturday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,155,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
868,2528,Tuesday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,95,Somewhat clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
869,1879,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,12/31/2018,95,Somewhat clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
870,2418,Tuesday,UNITED,HONOLULU,West US,Medium     ,Gates 70-90,12/31/2018,135,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
871,10,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,155,Average,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
872,371,Friday,LUFTHANSA,FRANKFURT,Europe,Hub,Gates 91-102,12/31/2018,180,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
873,688,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,155,Somewhat clean,Neutral,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
874,1930,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,200,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
875,1010,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,185,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
876,3221,Thursday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,75,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
877,2590,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,    Medium,Gates 1-12,12/31/2018,135,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
878,1690,Saturday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,695,Clean,Very safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
879,519,Thursday,EMIRATES,DUBAI,middle east,Hub     ,Gates 1-12,12/31/2018,285,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
881,3001,Wednesday,AMERICAN,MIAMI,East US,Hub,Gates 50-59,12/31/2018,268,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
882,1581,Wednesday,DELTA,DETROIT,Midwest US,Large,Gates 40-48,12/31/2018,115,Somewhat clean,Somewhat safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
884,1465,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,1/1/2018,299,Clean,Neutral,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
885,759,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,1210,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
886,1994,Tuesday,UNITED,BALTIMORE,East US,Medium,Gates 60-69,12/31/2018,215,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
887,3172,Thursday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,12/31/2018,105,Average,Somewhat safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
888,2767,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,12/31/2018,165,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
890,592,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,117,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
891,2298,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,    Hub,Gates 1-12,12/31/2018,165,Somewhat clean,Neutral,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
892,1933,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,245,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
893,1929,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,12/31/2018,185,Average,Somewhat safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
894,1794,Sunday,ALASKA,RALEIGH-DURHAM,EAST US,Medium     ,Gates 50-59,12/31/2018,145,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
895,3256,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,150,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
897,2611,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,Hub,Gates 1-12,12/31/2018,120,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
898,2416,Wednesday,AIR NEW ZEALAND,AUCKLAND,Australia/New Zealand,Medium,Gates 91-102,12/31/2018,190,Somewhat clean,Neutral,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
899,3122,Thursday,DELTA,SALT LAKE CITY,West US,    Medium,Gates 40-48,12/31/2018,15,Clean,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
900,2693,Tuesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,12/31/2018,80,Average,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
901,2121,Monday,UNITED INTL,MEXICO CITY,Canada/Mexico,Hub,Gates 91-102,12/31/2018,100,Somewhat clean,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
902,3086,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,12/31/2018,128,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
904,1368,Tuesday,UNITED INTL,PARIS-DE GAULLE,eur,    Hub,Gates 91-102,12/31/2018,125,Clean,Neutral,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
905,1838,Monday,TURKISH AIRLINES,ISTANBUL,middle east,Hub     ,Gates 91-102,12/31/2018,195,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
906,2329,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,12/31/2018,120,Somewhat clean,Somewhat safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
907,2605,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,130,Average,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
908,1829,Sunday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,12/31/2018,205,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
910,1138,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,160,Clean,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
911,2987,Wednesday,AMERICAN,CHARLOTTE,East US,Hub,Gates 50-59,12/31/2018,120,Somewhat clean,Somewhat safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
912,2602,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,    Medium,Gates 1-12,12/31/2018,180,Average,Neutral,Somewhat unsatisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
913,1784,Saturday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 70-90,12/31/2018,160,Somewhat clean,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
914,2103,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,124,Somewhat clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
915,2872,Wednesday,UNITED,WASHINGTON DC-DULLES,East US,Medium,Gates 70-90,12/31/2018,77,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
916,2013,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,120,Somewhat clean,Very safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
917,2841,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 70-90,12/31/2018,150,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
918,1883,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,12/31/2018,115,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
919,1013,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,185,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
920,500,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,118,Clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
923,2790,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,12/31/2018,205,Somewhat clean,Very safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
924,2106,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,289,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
926,3275,Tuesday,UNITED,LAS VEGAS,West US,Hub,Gates 70-90,12/31/2018,85,Average,Neutral,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
927,727,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,215,Somewhat clean,Neutral,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
928,3237,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,12/31/2018,110,Somewhat clean,Neutral,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
929,837,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,12/31/2018,90,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
930,2756,Thursday,DELTA,ATLANTA,East US,Hub,Gates 40-48,12/31/2018,180,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
931,408,Saturday,UNITED,PHOENIX,West US,Hub,Gates 70-90,12/31/2018,475,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
932,2060,Thursday,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,12/31/2018,177,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
933,413,Saturday,UNITED,PHOENIX,West US,    Hub,Gates 70-90,12/31/2018,115,Somewhat clean,Very unsafe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
934,1944,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,115,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
935,2979,Wednesday,AMERICAN,CHARLOTTE,East US,Hub,Gates 50-59,12/31/2018,75,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
936,2539,Tuesday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,75,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
937,3011,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,12/31/2018,125,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
939,1738,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,220,Average,Neutral,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
940,2726,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,270,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
941,1375,Tuesday,UNITED INTL,PARIS-DE GAULLE,Europe,Hub,Gates 91-102,12/31/2018,105,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
942,1610,Thursday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,125,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
944,2955,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,95,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
945,1803,Sunday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,12/31/2018,220,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
946,1231,Thursday,ANA ALL NIPPON,TOKYO-NARITA,Asia,Hub,Gates 91-102,12/31/2018,200,Average,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
947,2256,Saturday,UNITED,BAKERSFIELD,West US,Small,Gates 70-90,12/31/2018,193,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
948,2310,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,12/31/2018,100,Clean,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
949,2701,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,150,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
950,429,Sunday,UNITED,HONOLULU,West US,Medium,Gates 70-90,12/31/2018,160,Average,Somewhat safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
951,734,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,185,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
952,1173,Tuesday,SOUTHWEST,LAS VEGAS,West US,    Hub,Gates 20-39,12/31/2018,125,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
953,324,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,60,Somewhat clean,Very safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
954,2381,Wednesday,UNITED INTL,BEIJING,Asia,    Hub,Gates 91-102,12/31/2018,195,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
955,1527,Wednesday,ALASKA,LOS ANGELES,West US,Hub     ,Gates 40-48,12/31/2018,110,Average,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
956,273,Thursday,UNITED,LOS ANGELES,West US,Hub,Gates 70-90,12/31/2018,130,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
957,1239,Thursday,UNITED INTL,TOKYO-NARITA,Asia,    Hub,Gates 91-102,12/31/2018,150,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
958,825,Sunday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,125,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
959,807,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,100,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
960,1361,Tuesday,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,12/31/2018,155,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
961,2681,Tuesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,12/31/2018,110,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
962,1584,Wednesday,DELTA,SALT LAKE CITY,West US,    Medium,Gates 40-48,12/31/2018,125,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
963,712,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,165,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
964,234,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,100,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
965,3150,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,12/31/2018,90,Clean,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
966,2777,Thursday,DELTA,ATLANTA,EAST US,    Hub,Gates 40-48,12/31/2018,110,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
967,2451,Friday,ALASKA,SALT LAKE CITY,West US,    Medium,Gates 1-12,12/31/2018,600,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
968,1756,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,175,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
970,2150,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,183,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
971,1197,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub     ,Gates 20-39,12/31/2018,105,Average,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
